modelbin,type,lmin,lmax,wmin,wmax
sky130_fd_pr__pfet_01v8_hvt__model.172,pmos,8.0e-06,2.0e-05,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.173,pmos,4.0e-06,8.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.174,pmos,2.0e-06,4.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.175,pmos,1.0e-06,2.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.176,pmos,5.0e-07,1.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.177,pmos,2.5e-07,5.0e-07,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.178,pmos,1.8e-07,2.5e-07,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.179,pmos,1.5e-07,1.8e-07,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.180,pmos,2.0e-05,0.0001,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.181,pmos,8.0e-06,2.0e-05,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.182,pmos,4.0e-06,8.0e-06,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.183,pmos,2.0e-06,4.0e-06,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.184,pmos,1.0e-06,2.0e-06,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.185,pmos,5.0e-07,1.0e-06,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.186,pmos,2.5e-07,5.0e-07,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.187,pmos,1.8e-07,2.5e-07,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.188,pmos,1.5e-07,1.8e-07,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.189,pmos,2.0e-05,0.0001,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.190,pmos,8.0e-06,2.0e-05,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.191,pmos,4.0e-06,8.0e-06,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.192,pmos,2.0e-06,4.0e-06,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.193,pmos,1.0e-06,2.0e-06,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.194,pmos,5.0e-07,1.0e-06,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.195,pmos,2.5e-07,5.0e-07,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.196,pmos,1.8e-07,2.5e-07,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.197,pmos,1.5e-07,1.8e-07,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8__model.0,pmos,2.0e-05,1.0e-04,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8__model.1,pmos,8e-06,2.0e-05,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8__model.2,pmos,4e-06,8e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8__model.3,pmos,2e-06,4e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8__model.4,pmos,1e-06,2e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8__model.5,pmos,5e-07,1e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8__model.6,pmos,2.5e-07,5e-07,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8__model.7,pmos,1.8e-07,2.5e-07,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8__model.8,pmos,1.5e-07,1.8e-07,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8__model.9,pmos,2.0e-05,1.0e-04,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8__model.10,pmos,8e-06,2.0e-05,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8__model.11,pmos,4e-06,8e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8__model.12,pmos,2e-06,4e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8__model.13,pmos,1e-06,2e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8__model.14,pmos,5e-07,1e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8__model.15,pmos,2.5e-07,5e-07,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8__model.16,pmos,1.8e-07,2.5e-07,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8__model.17,pmos,1.5e-07,1.8e-07,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8__model.18,pmos,2.0e-05,1.0e-04,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8__model.19,pmos,8e-06,2.0e-05,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8__model.20,pmos,4e-06,8e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8__model.21,pmos,2e-06,4e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8__model.22,pmos,1e-06,2e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8__model.23,pmos,5e-07,1e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8__model.24,pmos,2.5e-07,5e-07,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8__model.25,pmos,1.8e-07,2.5e-07,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8__model.26,pmos,1.5e-07,1.8e-07,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8__model.27,pmos,2.0e-05,1.0e-04,2e-06,3.0e-6
sky130_fd_pr__pfet_01v8__model.28,pmos,8e-06,2.0e-05,2e-06,3.0e-6
sky130_fd_pr__pfet_01v8__model.29,pmos,4e-06,8e-06,2e-06,3.0e-6
sky130_fd_pr__pfet_01v8__model.30,pmos,2e-06,4e-06,2e-06,3.0e-6
sky130_fd_pr__pfet_01v8__model.31,pmos,1e-06,2e-06,2e-06,3.0e-6
sky130_fd_pr__pfet_01v8__model.32,pmos,5e-07,1e-06,2e-06,3.0e-6
sky130_fd_pr__pfet_01v8__model.33,pmos,2.5e-07,5e-07,2e-06,3.0e-6
sky130_fd_pr__pfet_01v8__model.34,pmos,1.8e-07,2.5e-07,2e-06,3.0e-6
sky130_fd_pr__pfet_01v8__model.35,pmos,1.5e-07,1.8e-07,2e-06,3.0e-6
sky130_fd_pr__pfet_01v8__model.36,pmos,2.0e-05,1.0e-04,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8__model.37,pmos,8e-06,2.0e-05,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8__model.38,pmos,4e-06,8e-06,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8__model.39,pmos,2e-06,4e-06,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8__model.40,pmos,1e-06,2e-06,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8__model.41,pmos,5e-07,1e-06,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8__model.42,pmos,2.5e-07,5e-07,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8__model.43,pmos,1.8e-07,2.5e-07,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8__model.44,pmos,1.5e-07,1.8e-07,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8__model.45,pmos,2.0e-05,1.0e-04,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8__model.46,pmos,8e-06,2.0e-05,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8__model.47,pmos,4e-06,8e-06,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8__model.48,pmos,2e-06,4e-06,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8__model.49,pmos,1e-06,2e-06,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8__model.50,pmos,5e-07,1e-06,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8__model.51,pmos,2.5e-07,5e-07,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8__model.52,pmos,1.8e-07,2.5e-07,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8__model.53,pmos,1.5e-07,1.8e-07,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8__model.54,pmos,2.0e-05,1.0e-04,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8__model.55,pmos,8e-06,2.0e-05,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8__model.56,pmos,4e-06,8e-06,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8__model.57,pmos,2e-06,4e-06,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8__model.58,pmos,1e-06,2e-06,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8__model.59,pmos,5e-07,1e-06,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8__model.60,pmos,2.5e-07,5e-07,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8__model.61,pmos,1.8e-07,2.5e-07,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8__model.62,pmos,1.5e-07,1.8e-07,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8__model.63,pmos,2.0e-05,1.0e-04,1e-06,1.26e-6
sky130_fd_pr__pfet_01v8__model.64,pmos,8e-06,2.0e-05,1e-06,1.26e-6
sky130_fd_pr__pfet_01v8__model.65,pmos,4e-06,8e-06,1e-06,1.26e-6
sky130_fd_pr__pfet_01v8__model.66,pmos,2e-06,4e-06,1e-06,1.26e-6
sky130_fd_pr__pfet_01v8__model.67,pmos,1e-06,2e-06,1e-06,1.26e-6
sky130_fd_pr__pfet_01v8__model.68,pmos,5e-07,1e-06,1e-06,1.26e-6
sky130_fd_pr__pfet_01v8__model.69,pmos,2.5e-07,5e-07,1e-06,1.26e-6
sky130_fd_pr__pfet_01v8__model.70,pmos,1.8e-07,2.5e-07,1e-06,1.26e-6
sky130_fd_pr__pfet_01v8__model.71,pmos,1.5e-07,1.8e-07,1e-06,1.26e-6
sky130_fd_pr__pfet_01v8__model.72,pmos,2.0e-05,1.0e-04,8.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8__model.73,pmos,8e-06,2.0e-05,8.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8__model.74,pmos,4e-06,8e-06,8.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8__model.75,pmos,2e-06,4e-06,8.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8__model.76,pmos,1e-06,2e-06,8.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8__model.77,pmos,5e-07,1e-06,8.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8__model.78,pmos,2.5e-07,5e-07,8.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8__model.79,pmos,1.8e-07,2.5e-07,8.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8__model.80,pmos,1.5e-07,1.8e-07,8.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8__model.81,pmos,2.0e-05,1.0e-04,6.4e-07,8.4e-7
sky130_fd_pr__pfet_01v8__model.82,pmos,8e-06,2.0e-05,6.4e-07,8.4e-7
sky130_fd_pr__pfet_01v8__model.83,pmos,4e-06,8e-06,6.4e-07,8.4e-7
sky130_fd_pr__pfet_01v8__model.84,pmos,2e-06,4e-06,6.4e-07,8.4e-7
sky130_fd_pr__pfet_01v8__model.85,pmos,1e-06,2e-06,6.4e-07,8.4e-7
sky130_fd_pr__pfet_01v8__model.86,pmos,5e-07,1e-06,6.4e-07,8.4e-7
sky130_fd_pr__pfet_01v8__model.87,pmos,2.5e-07,5e-07,6.4e-07,8.4e-7
sky130_fd_pr__pfet_01v8__model.88,pmos,1.8e-07,2.5e-07,6.4e-07,8.4e-7
sky130_fd_pr__pfet_01v8__model.89,pmos,1.5e-07,1.8e-07,6.4e-07,8.4e-7
sky130_fd_pr__pfet_01v8__model.90,pmos,2.0e-05,1.0e-04,5.5e-07,6.4e-7
sky130_fd_pr__pfet_01v8__model.91,pmos,8e-06,2.0e-05,5.5e-07,6.4e-7
sky130_fd_pr__pfet_01v8__model.92,pmos,4e-06,8e-06,5.5e-07,6.4e-7
sky130_fd_pr__pfet_01v8__model.93,pmos,2e-06,4e-06,5.5e-07,6.4e-7
sky130_fd_pr__pfet_01v8__model.94,pmos,1e-06,2e-06,5.5e-07,6.4e-7
sky130_fd_pr__pfet_01v8__model.95,pmos,5e-07,1e-06,5.5e-07,6.4e-7
sky130_fd_pr__pfet_01v8__model.96,pmos,2.5e-07,5e-07,5.5e-07,6.4e-7
sky130_fd_pr__pfet_01v8__model.97,pmos,1.8e-07,2.5e-07,5.5e-07,6.4e-7
sky130_fd_pr__pfet_01v8__model.98,pmos,1.5e-07,1.8e-07,5.5e-07,6.4e-7
sky130_fd_pr__pfet_01v8__model.99,pmos,2.0e-05,1.0e-04,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8__model.100,pmos,8e-06,2.0e-05,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8__model.101,pmos,4e-06,8e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8__model.102,pmos,2e-06,4e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8__model.103,pmos,1e-06,2e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8__model.104,pmos,5e-07,1e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8__model.105,pmos,2.5e-07,5e-07,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8__model.106,pmos,1.8e-07,2.5e-07,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8__model.107,pmos,1.5e-07,1.8e-07,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.0,pmos,2.0e-05,1.0e-04,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.1,pmos,8e-06,2.0e-05,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.2,pmos,4e-06,8e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.3,pmos,2e-06,4e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.4,pmos,1.5e-06,2e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.5,pmos,1e-06,1.5e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.6,pmos,5e-07,1e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.7,pmos,3.5e-07,5e-07,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.8,pmos,2.0e-05,1.0e-04,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.9,pmos,8e-06,2.0e-05,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.10,pmos,4e-06,8e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.11,pmos,2e-06,4e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.12,pmos,1.5e-06,2e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.13,pmos,1e-06,1.5e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.14,pmos,5e-07,1e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.15,pmos,3.5e-07,5e-07,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.16,pmos,2.0e-05,1.0e-04,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.17,pmos,8e-06,2.0e-05,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.18,pmos,4e-06,8e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.19,pmos,2e-06,4e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.20,pmos,1.5e-06,2e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.21,pmos,1e-06,1.5e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.22,pmos,5e-07,1e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.23,pmos,3.5e-07,5e-07,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.24,pmos,2.0e-05,1.0e-04,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.25,pmos,8e-06,2.0e-05,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.26,pmos,4e-06,8e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.27,pmos,2e-06,4e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.28,pmos,1.5e-06,2e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.29,pmos,1e-06,1.5e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.30,pmos,5e-07,1e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.31,pmos,3.5e-07,5e-07,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.32,pmos,2.0e-05,1.0e-04,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.33,pmos,8e-06,2.0e-05,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.34,pmos,4e-06,8e-06,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.35,pmos,2e-06,4e-06,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.36,pmos,1.5e-06,2e-06,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.37,pmos,1e-06,1.5e-06,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.38,pmos,5e-07,1e-06,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.39,pmos,3.5e-07,5e-07,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.40,pmos,2.0e-05,1.0e-04,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.41,pmos,8e-06,2.0e-05,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.42,pmos,4e-06,8e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.43,pmos,2e-06,4e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.44,pmos,1.5e-06,2e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.45,pmos,1e-06,1.5e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.46,pmos,5e-07,1e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.47,pmos,3.5e-07,5e-07,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.0,pmos,2.0e-05,1.0e-04,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.1,pmos,8e-06,2.0e-05,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.2,pmos,4e-06,8e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.3,pmos,2e-06,4e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.4,pmos,1.5e-06,2e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.5,pmos,1e-06,1.5e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.6,pmos,5e-07,1e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.7,pmos,3.5e-07,5e-07,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.8,pmos,2.0e-05,1.0e-04,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.9,pmos,8e-06,2.0e-05,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.10,pmos,4e-06,8e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.11,pmos,2e-06,4e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.12,pmos,1.5e-06,2e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.13,pmos,1e-06,1.5e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.14,pmos,5e-07,1e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.15,pmos,3.5e-07,5e-07,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.16,pmos,2.0e-05,1.0e-04,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.17,pmos,8e-06,2.0e-05,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.18,pmos,4e-06,8e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.19,pmos,2e-06,4e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.20,pmos,1.5e-06,2e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.21,pmos,1e-06,1.5e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.22,pmos,5e-07,1e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.23,pmos,3.5e-07,5e-07,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.24,pmos,2.0e-05,1.0e-04,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.25,pmos,8e-06,2.0e-05,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.26,pmos,4e-06,8e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.27,pmos,2e-06,4e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.28,pmos,1.5e-06,2e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.29,pmos,1e-06,1.5e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.30,pmos,5e-07,1e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.31,pmos,3.5e-07,5e-07,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.32,pmos,2.0e-05,1.0e-04,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.33,pmos,8e-06,2.0e-05,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.34,pmos,4e-06,8e-06,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.35,pmos,2e-06,4e-06,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.36,pmos,1.5e-06,2e-06,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.37,pmos,1e-06,1.5e-06,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.38,pmos,5e-07,1e-06,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.39,pmos,3.5e-07,5e-07,5.5e-07,1.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.40,pmos,2.0e-05,1.0e-04,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.41,pmos,8e-06,2.0e-05,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.42,pmos,4e-06,8e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.43,pmos,2e-06,4e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.44,pmos,1.5e-06,2e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.45,pmos,1e-06,1.5e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.46,pmos,5e-07,1e-06,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.47,pmos,3.5e-07,5e-07,4.2e-07,5.5e-7
sky130_fd_pr__pfet_01v8_lvt__model.0,pmos,2.0e-05,1.0e-04,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.1,pmos,8e-06,2.0e-05,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.2,pmos,4e-06,8e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.3,pmos,2e-06,4e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.4,pmos,1.5e-06,2e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.5,pmos,1e-06,1.5e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.6,pmos,5e-07,1e-06,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.7,pmos,3.5e-07,5e-07,7e-06,1.0e-4
sky130_fd_pr__pfet_01v8_lvt__model.8,pmos,2.0e-05,1.0e-04,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.9,pmos,8e-06,2.0e-05,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.10,pmos,4e-06,8e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.11,pmos,2e-06,4e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.12,pmos,1.5e-06,2e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.13,pmos,1e-06,1.5e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.14,pmos,5e-07,1e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.15,pmos,3.5e-07,5e-07,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.16,pmos,2.0e-05,1.0e-04,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.17,pmos,8e-06,2.0e-05,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.18,pmos,4e-06,8e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.19,pmos,2e-06,4e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.20,pmos,1.5e-06,2e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.21,pmos,1e-06,1.5e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.22,pmos,5e-07,1e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.23,pmos,3.5e-07,5e-07,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.24,pmos,2.0e-05,1.0e-04,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.25,pmos,8e-06,2.0e-05,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.26,pmos,4e-06,8e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.27,pmos,2e-06,4e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.28,pmos,1.5e-06,2e-06,1e-06,3.0e-6
sky130_fd_pr__pfet_01v8_lvt__model.29,pmos,1e-06,1.5e-06,1e-06,3.0e-6
