modelbin,type,lmin,lmax,wmin,wmax
sky130_fd_pr__nfet_01v8__model.72,nmos,2.0e-05,0.0001,7.4e-07,8.4e-7
sky130_fd_pr__nfet_01v8__model.73,nmos,8.0e-06,2.0e-05,7.4e-07,8.4e-7
sky130_fd_pr__nfet_01v8__model.74,nmos,4.0e-06,8.0e-06,7.4e-07,8.4e-7
sky130_fd_pr__nfet_01v8__model.75,nmos,2.0e-06,4.0e-06,7.4e-07,8.4e-7
sky130_fd_pr__nfet_01v8__model.76,nmos,1.0e-06,2.0e-06,7.4e-07,8.4e-7
sky130_fd_pr__nfet_01v8__model.77,nmos,5.0e-07,1.0e-06,7.4e-07,8.4e-7
sky130_fd_pr__nfet_01v8__model.78,nmos,2.5e-07,5.0e-07,7.4e-07,8.4e-7
sky130_fd_pr__nfet_01v8__model.79,nmos,1.8e-07,2.5e-07,7.4e-07,8.4e-7
sky130_fd_pr__nfet_01v8__model.80,nmos,1.5e-07,1.8e-07,7.4e-07,8.4e-7
sky130_fd_pr__nfet_01v8__model.81,nmos,2.0e-05,0.0001,6.5e-07,7.4e-7
sky130_fd_pr__nfet_01v8__model.82,nmos,8.0e-06,2.0e-05,6.5e-07,7.4e-7
sky130_fd_pr__nfet_01v8__model.83,nmos,4.0e-06,8.0e-06,6.5e-07,7.4e-7
sky130_fd_pr__nfet_01v8__model.84,nmos,2.0e-06,4.0e-06,6.5e-07,7.4e-7
sky130_fd_pr__nfet_01v8__model.85,nmos,1.0e-06,2.0e-06,6.5e-07,7.4e-7
sky130_fd_pr__nfet_01v8__model.86,nmos,5.0e-07,1.0e-06,6.5e-07,7.4e-7
sky130_fd_pr__nfet_01v8__model.87,nmos,2.5e-07,5.0e-07,6.5e-07,7.4e-7
sky130_fd_pr__nfet_01v8__model.88,nmos,1.8e-07,2.5e-07,6.5e-07,7.4e-7
sky130_fd_pr__nfet_01v8__model.89,nmos,1.5e-07,1.8e-07,6.5e-07,7.4e-7
sky130_fd_pr__nfet_01v8__model.90,nmos,2.0e-05,0.0001,6.4e-07,6.5e-7
sky130_fd_pr__nfet_01v8__model.91,nmos,8.0e-06,2.0e-05,6.4e-07,6.5e-7
sky130_fd_pr__nfet_01v8__model.92,nmos,4.0e-06,8.0e-06,6.4e-07,6.5e-7
sky130_fd_pr__nfet_01v8__model.93,nmos,2.0e-06,4.0e-06,6.4e-07,6.5e-7
sky130_fd_pr__nfet_01v8__model.94,nmos,1.0e-06,2.0e-06,6.4e-07,6.5e-7
sky130_fd_pr__nfet_01v8__model.95,nmos,5.0e-07,1.0e-06,6.4e-07,6.5e-7
sky130_fd_pr__nfet_01v8__model.96,nmos,2.5e-07,5.0e-07,6.4e-07,6.5e-7
sky130_fd_pr__nfet_01v8__model.97,nmos,1.8e-07,2.5e-07,6.4e-07,6.5e-7
sky130_fd_pr__nfet_01v8__model.98,nmos,1.5e-07,1.8e-07,6.4e-07,6.5e-7
sky130_fd_pr__nfet_01v8__model.99,nmos,2.0e-05,0.0001,6.1e-07,6.4e-7
sky130_fd_pr__nfet_01v8__model.100,nmos,8.0e-06,2.0e-05,6.1e-07,6.4e-7
sky130_fd_pr__nfet_01v8__model.101,nmos,4.0e-06,8.0e-06,6.1e-07,6.4e-7
sky130_fd_pr__nfet_01v8__model.102,nmos,2.0e-06,4.0e-06,6.1e-07,6.4e-7
sky130_fd_pr__nfet_01v8__model.103,nmos,1.0e-06,2.0e-06,6.1e-07,6.4e-7
sky130_fd_pr__nfet_01v8__model.104,nmos,5.0e-07,1.0e-06,6.1e-07,6.4e-7
sky130_fd_pr__nfet_01v8__model.105,nmos,2.5e-07,5.0e-07,6.1e-07,6.4e-7
sky130_fd_pr__nfet_01v8__model.106,nmos,1.8e-07,2.5e-07,6.1e-07,6.4e-7
sky130_fd_pr__nfet_01v8__model.107,nmos,1.5e-07,1.8e-07,6.1e-07,6.4e-7
sky130_fd_pr__nfet_01v8__model.108,nmos,2.0e-05,0.0001,6.0e-07,6.1e-7
sky130_fd_pr__nfet_01v8__model.109,nmos,8.0e-06,2.0e-05,6.0e-07,6.1e-7
sky130_fd_pr__nfet_01v8__model.110,nmos,4.0e-06,8.0e-06,6.0e-07,6.1e-7
sky130_fd_pr__nfet_01v8__model.111,nmos,2.0e-06,4.0e-06,6.0e-07,6.1e-7
sky130_fd_pr__nfet_01v8__model.112,nmos,1.0e-06,2.0e-06,6.0e-07,6.1e-7
sky130_fd_pr__nfet_01v8__model.113,nmos,5.0e-07,1.0e-06,6.0e-07,6.1e-7
sky130_fd_pr__nfet_01v8__model.114,nmos,2.5e-07,5.0e-07,6.0e-07,6.1e-7
sky130_fd_pr__nfet_01v8__model.115,nmos,1.8e-07,2.5e-07,6.0e-07,6.1e-7
sky130_fd_pr__nfet_01v8__model.116,nmos,1.5e-07,1.8e-07,6.0e-07,6.1e-7
sky130_fd_pr__nfet_01v8__model.117,nmos,2.0e-05,0.0001,5.8e-07,6.0e-7
sky130_fd_pr__nfet_01v8__model.118,nmos,8.0e-06,2.0e-05,5.8e-07,6.0e-7
sky130_fd_pr__nfet_01v8__model.119,nmos,4.0e-06,8.0e-06,5.8e-07,6.0e-7
sky130_fd_pr__nfet_01v8__model.120,nmos,2.0e-06,4.0e-06,5.8e-07,6.0e-7
